,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
18,5.7,3.8,1.7,0.3
17,5.1,3.5,1.4,0.3
102,7.1,3.0,5.9,2.1
51,6.4,3.2,4.5,1.5
71,6.1,2.8,4.0,1.3
1,4.9,3.0,1.4,0.2
29,4.7,3.2,1.6,0.2
12,4.8,3.0,1.4,0.1
47,4.6,3.2,1.4,0.2
101,5.8,2.7,5.1,1.9
33,5.5,4.2,1.4,0.2
108,6.7,2.5,5.8,1.8
98,5.1,2.5,3.0,1.1
74,6.4,2.9,4.3,1.3
76,6.8,2.8,4.8,1.4
79,5.7,2.6,3.5,1.0
139,6.9,3.1,5.4,2.1
37,4.9,3.6,1.4,0.1
124,6.7,3.3,5.7,2.1
146,6.3,2.5,5.0,1.9
125,7.2,3.2,6.0,1.8
136,6.3,3.4,5.6,2.4
56,6.3,3.3,4.7,1.6
21,5.1,3.7,1.5,0.4
6,4.6,3.4,1.4,0.3
67,5.8,2.7,4.1,1.0
5,5.4,3.9,1.7,0.4
52,6.9,3.1,4.9,1.5
137,6.4,3.1,5.5,1.8
62,6.0,2.2,4.0,1.0
60,5.0,2.0,3.5,1.0
38,4.4,3.0,1.3,0.2
89,5.5,2.5,4.0,1.3
118,7.7,2.6,6.9,2.3
87,6.3,2.3,4.4,1.3
8,4.4,2.9,1.4,0.2
140,6.7,3.1,5.6,2.4
35,5.0,3.2,1.2,0.2
31,5.4,3.4,1.5,0.4
111,6.4,2.7,5.3,1.9
45,4.8,3.0,1.4,0.3
77,6.7,3.0,5.0,1.7
145,6.7,3.0,5.2,2.3
88,5.6,3.0,4.1,1.3
92,5.8,2.6,4.0,1.2
91,6.1,3.0,4.6,1.4
58,6.6,2.9,4.6,1.3
142,5.8,2.7,5.1,1.9
39,5.1,3.4,1.5,0.2
66,5.6,3.0,4.5,1.5
44,5.1,3.8,1.9,0.4
3,4.6,3.1,1.5,0.2
49,5.0,3.3,1.4,0.2
121,5.6,2.8,4.9,2.0
22,4.6,3.6,1.0,0.2
46,5.1,3.8,1.6,0.2
30,4.8,3.1,1.6,0.2
94,5.6,2.7,4.2,1.3
27,5.2,3.5,1.5,0.2
97,6.2,2.9,4.3,1.3
149,5.9,3.0,5.1,1.8
70,5.9,3.2,4.8,1.8
90,5.5,2.6,4.4,1.2
68,6.2,2.2,4.5,1.5
138,6.0,3.0,4.8,1.8
115,6.4,3.2,5.3,2.3
103,6.3,2.9,5.6,1.8
11,4.8,3.4,1.6,0.2
119,6.0,2.2,5.0,1.5
86,6.7,3.1,4.7,1.5
135,7.7,3.0,6.1,2.3
65,6.7,3.1,4.4,1.4
112,6.8,3.0,5.5,2.1
69,5.6,2.5,3.9,1.1
63,6.1,2.9,4.7,1.4
55,5.7,2.8,4.5,1.3
129,7.2,3.0,5.8,1.6
147,6.5,3.0,5.2,2.0
9,4.9,3.1,1.5,0.1
73,6.1,2.8,4.7,1.2
23,5.1,3.3,1.7,0.5
41,4.5,2.3,1.3,0.3
78,6.0,2.9,4.5,1.5
95,5.7,3.0,4.2,1.2
26,5.0,3.4,1.6,0.4
99,5.7,2.8,4.1,1.3
122,7.7,2.8,6.7,2.0
132,6.4,2.8,5.6,2.2
80,5.5,2.4,3.8,1.1
54,6.5,2.8,4.6,1.5
143,6.8,3.2,5.9,2.3
126,6.2,2.8,4.8,1.8
113,5.7,2.5,5.0,2.0
34,4.9,3.1,1.5,0.2
83,6.0,2.7,5.1,1.6
7,5.0,3.4,1.5,0.2
59,5.2,2.7,3.9,1.4
42,4.4,3.2,1.3,0.2
53,5.5,2.3,4.0,1.3
10,5.4,3.7,1.5,0.2
104,6.5,3.0,5.8,2.2
110,6.5,3.2,5.1,2.0
2,4.7,3.2,1.3,0.2
84,5.4,3.0,4.5,1.5
50,7.0,3.2,4.7,1.4
75,6.6,3.0,4.4,1.4
64,5.6,2.9,3.6,1.3
32,5.2,4.1,1.5,0.1
16,5.4,3.9,1.3,0.4
100,6.3,3.3,6.0,2.5
36,5.5,3.5,1.3,0.2
20,5.4,3.4,1.7,0.2
48,5.3,3.7,1.5,0.2
117,7.7,3.8,6.7,2.2
15,5.7,4.4,1.5,0.4
114,5.8,2.8,5.1,2.4
13,4.3,3.0,1.1,0.1
141,6.9,3.1,5.1,2.3
28,5.2,3.4,1.4,0.2
96,5.7,2.9,4.2,1.3
14,5.8,4.0,1.2,0.2
106,4.9,2.5,4.5,1.7
109,7.2,3.6,6.1,2.5
123,6.3,2.7,4.9,1.8
107,7.3,2.9,6.3,1.8
72,6.3,2.5,4.9,1.5
127,6.1,3.0,4.9,1.8
116,6.5,3.0,5.5,1.8
4,5.0,3.6,1.4,0.2
148,6.2,3.4,5.4,2.3
93,5.0,2.3,3.3,1.0
128,6.4,2.8,5.6,2.1
133,6.3,2.8,5.1,1.5
81,5.5,2.4,3.7,1.0
19,5.1,3.8,1.5,0.3
134,6.1,2.6,5.6,1.4
105,7.6,3.0,6.6,2.1
57,4.9,2.4,3.3,1.0
24,4.8,3.4,1.9,0.2
40,5.0,3.5,1.3,0.3
25,5.0,3.0,1.6,0.2
61,5.9,3.0,4.2,1.5
131,7.9,3.8,6.4,2.0
120,6.9,3.2,5.7,2.3
43,5.0,3.5,1.6,0.6
85,6.0,3.4,4.5,1.6
82,5.8,2.7,3.9,1.2
144,6.7,3.3,5.7,2.5
0,5.1,3.5,1.4,0.2
130,7.4,2.8,6.1,1.9
